"date","hotel","region","flavour","freshness","temperature","service","country"
"2014-09-23 20:49:03","Accor Hotels","Marche","1","4","4","1","UK"
"2014-10-01 20:33:01","Accor Hotels","Marche","3","2","3","5","Germania"
"2013-09-26 21:06:17","Accor Hotels","Marche","1","1","2","4","Grecia"
"2014-10-07 20:52:17","Accor Hotels","Toscana","1","4","2","3","Olanda"
"2014-10-07 21:11:25","Accor Hotels","Toscana","2","4","5","1","Grecia"
"2013-06-05 21:06:30","Accor Hotels","Toscana","3","5","3","3","Spagna"
"2015-02-04 21:07:17","Accor Hotels","Marche","3","4","3","3","Grecia"
"2013-03-29 20:24:33","Accor Hotels","Marche","2","2","4","1","Svezia"
"2014-01-30 20:29:55","Accor Hotels","Marche","5","2","5","4","Grecia"
"2014-09-10 21:05:46","Accor Hotels","Marche","1","1","1","1","USA"
"2014-01-15 21:19:50","Accor Hotels","Marche","3","4","4","2","Finlandia"
"2013-04-02 21:01:25","Accor Hotels","Toscana","5","3","2","1","UK"
"2013-12-23 21:09:53","Accor Hotels","Marche","5","4","5","5","Svezia"
"2014-06-18 20:43:31","Accor Hotels","Marche","3","3","1","4","Italia"
"2014-08-18 20:40:19","Accor Hotels","Marche","5","5","2","1","UK"
"2013-11-06 20:38:14","Accor Hotels","Marche","3","1","3","1","UK"
"2014-08-05 20:57:04","Accor Hotels","Marche","1","1","2","2","Olanda"
"2015-01-30 20:25:23","Accor Hotels","Marche","4","2","4","3","Germania"
"2014-10-20 20:54:36","Accor Hotels","Toscana","2","4","4","4","USA"
"2013-04-11 21:23:00","Accor Hotels","Marche","2","1","5","5","Finlandia"
"2013-07-24 20:48:49","Accor Hotels","Marche","1","5","3","3","USA"
"2013-08-11 20:46:56","Accor Hotels","Marche","1","1","2","1","Grecia"
"2014-04-26 20:45:53","Accor Hotels","Toscana","4","1","5","5","USA"
"2014-04-14 20:45:44","Accor Hotels","Marche","1","2","1","3","Italia"
"2013-07-24 21:01:44","Accor Hotels","Toscana","4","2","3","4","Olanda"
"2014-01-30 21:17:41","Accor Hotels","Marche","2","5","2","5","Spagna"
"2015-03-12 20:56:43","Accor Hotels","Marche","2","3","4","3","Olanda"
"2014-09-22 21:10:22","Accor Hotels","Marche","4","1","2","5","Spagna"
"2014-09-25 20:49:43","Accor Hotels","Marche","5","3","2","1","Spagna"
"2014-01-23 20:30:49","Accor Hotels","Marche","5","3","3","5","UK"
"2013-12-07 21:11:33","Accor Hotels","Marche","5","2","1","1","Spagna"
"2014-11-17 20:24:29","Accor Hotels","Marche","3","1","2","1","Olanda"
"2013-12-24 21:21:19","Accor Hotels","Marche","2","1","3","3","Italia"
"2014-03-09 20:50:12","Accor Hotels","Marche","5","2","3","5","Grecia"
"2014-06-16 20:59:53","Accor Hotels","Toscana","2","1","3","5","UK"
"2013-08-20 21:23:02","Accor Hotels","Toscana","4","5","3","4","USA"
