"id","sendtime","hotel","flavour","freshness","temperature","service","country"
1,"2014-02-17 15:49:08","Palatino",3,3,4,3,"Italia"
2,"2014-02-17 15:49:08","Palatino",4,3,4,3,"Italia"
3,"2014-02-17 15:49:08","Palatino",3,2,2,3,"Germania"
4,"2014-02-17 15:49:08","Palatino",3,3,2,4,"Francia"
5,"2014-02-17 15:49:08","Palatino",3,2,4,3,"Francia"
6,"2014-02-17 15:49:08","Palatino",2,3,4,3,"USA"
7,"2014-02-17 15:49:08","Palatino",3,3,4,3,"USA"
8,"2014-02-17 15:49:08","Palatino",3,2,3,4,"Italia"
9,"2014-02-17 15:49:08","Palatino",4,3,4,3,"Germania"
10,"2014-02-17 15:49:08","Palatino",3,2,3,2,"UK"
11,"2014-02-17 15:49:08","Palatino",3,3,4,3,"UK"
12,"2014-02-17 15:49:08","Superior",4,3,3,4,"Italia"
13,"2014-02-17 15:49:08","Superior",4,3,4,3,"Italia"
14,"2014-02-17 15:49:08","Superior",3,2,2,3,"Germania"
15,"2014-02-17 15:49:08","Superior",3,3,2,4,"Francia"
16,"2014-02-17 15:49:08","Superior",2,2,4,3,"Francia"
17,"2014-02-17 15:49:08","Superior",2,4,4,3,"USA"
18,"2014-02-17 15:49:08","Excelsior",2,3,4,3,"USA"
19,"2014-02-17 15:49:08","Excelsior",3,2,3,4,"Italia"
20,"2014-02-17 15:49:08","Excelsior",3,3,4,3,"Germania"
21,"2014-02-17 15:49:08","Excelsior",2,4,4,2,"UK"
22,"2014-02-17 15:49:08","Excelsior",3,2,3,4,"UK"
23,"2014-02-17 15:55:11","Palatino",3,3,4,3,"Italia"
24,"2014-02-17 15:55:11","Palatino",4,3,4,3,"Italia"
25,"2014-02-17 15:55:11","Palatino",3,2,2,3,"Germania"
26,"2014-02-17 15:55:11","Palatino",3,3,2,4,"Francia"
27,"2014-02-17 15:55:11","Palatino",3,2,4,3,"Francia"
28,"2014-02-17 15:55:11","Palatino",2,3,4,3,"USA"
29,"2014-02-17 15:55:11","Palatino",3,3,4,3,"USA"
30,"2014-02-17 15:55:11","Palatino",3,2,3,4,"Italia"
31,"2014-02-17 15:55:11","Palatino",4,3,4,3,"Germania"
32,"2014-02-17 15:55:11","Palatino",3,2,3,2,"UK"
33,"2014-02-17 15:55:11","Palatino",3,3,4,3,"UK"
34,"2014-02-17 15:55:11","Superior",4,3,3,4,"Italia"
35,"2014-02-17 15:55:11","Superior",4,3,4,3,"Italia"
36,"2014-02-17 15:55:11","Superior",3,2,2,3,"Germania"
37,"2014-02-17 15:55:11","Superior",3,3,2,4,"Francia"
38,"2014-02-17 15:55:11","Superior",2,2,4,3,"Francia"
39,"2014-02-17 15:55:11","Superior",2,4,4,3,"USA"
40,"2014-02-17 15:55:11","Excelsior",2,3,4,3,"USA"
41,"2014-02-17 15:55:11","Excelsior",3,2,3,4,"Italia"
42,"2014-02-17 15:55:11","Excelsior",3,3,4,3,"Germania"
43,"2014-02-17 15:55:11","Excelsior",2,4,4,2,"UK"
44,"2014-02-17 15:55:11","Excelsior",3,2,3,4,"UK"
